name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg
Jason Heyward,28.0,518792.0,heywaja01,2018,CHC,1,NL,42.0,10,90.0,-1.57,-0.05,0.18,-2.0,0.0,1.0,0.0,-1.0,-2.0,-0.36,0.0,1.36,-2.4,-3.8,-1.8,-2.4,-0.43,-0.2,-0.27,-0.29,-0.27,-0.06,0.14,,N,3.96395,4.14395,0.07429,4.00787,1.8159999999999998,1.818,0.4583,0.4798,0.4744,0.4848,72.6713,13.407,14.429
Tommy La Stella,29.0,600303.0,lasteto01,2018,CHC,1,NL,14.0,9,9.0,0.53,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.46,0.4,-0.1,-0.1,0.1,-0.01,-0.01,0.0,0.04,0.0,0.04,0.05,,N,4.1372800000000005,4.14395,0.07429,4.09339,1.827,1.824,0.4993,0.4993,0.5006,0.4944,94.3072,4.578,5.611000000000001
Jon Lester,34.0,452657.0,lestejo01,2018,CHC,1,NL,8.0,3,14.3,-1.24,-0.01,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.73,0.07,-0.6,-0.7,-0.7,0.0,-0.08,-0.08,0.0,-0.07,0.0,-0.07,0.01,,Y,3.90728,4.14395,0.07429,4.05728,1.8119999999999998,1.8219999999999998,0.4734,0.4734,0.5004,0.4904,-100.0,2.289,2.806
Mike Montgomery,28.0,543557.0,montgmi01,2018,CHC,1,NL,0.0,5,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,4.14395,4.14395,0.07429,4.14395,1.827,1.827,0.5,0.5,0.5,0.5,,0.0,0.0
Brandon Morrow,33.0,453344.0,morrobr01,2018,CHC,1,NL,0.0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,4.14395,4.14395,0.07429,4.14395,1.827,1.827,0.5,0.5,0.5,0.5,,0.0,0.0
Efren Navarro,32.0,519068.0,navaref01,2018,CHC,1,NL,1.0,1,0.0,0.38,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.4,0.4,0.4,0.0,0.04,0.04,0.0,0.04,0.0,0.04,0.0,,N,4.51395,4.14395,0.07429,4.11145,1.85,1.825,0.5395,0.5395,0.5,0.4964,455.187,0.327,0.401
Jose Quintana,29.0,500779.0,quintjo01,2018,CHC,1,NL,4.0,2,12.0,-1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.49,0.0,-0.5,-0.5,-0.5,0.0,-0.06,-0.06,0.0,-0.06,0.0,-0.06,0.0,,Y,3.87895,4.14395,0.07429,4.07895,1.81,1.8230000000000002,0.4701,0.4701,0.5006,0.4928,-100.0,0.981,1.202
Anthony Rizzo,28.0,519203.0,rizzoan01,2018,CHC,1,NL,32.0,6,60.6,-2.91,-0.16,0.18,-1.0,0.0,0.0,0.0,0.0,-1.0,-0.31,0.0,0.82,-3.4,-4.2,-3.2,-1.3,-0.49,-0.37,-0.14,-0.41,-0.14,-0.29,0.08,,N,3.61061,4.14395,0.07429,4.00787,1.7930000000000001,1.818,0.4208,0.4386,0.4762,0.4848,20.3624,10.464,11.222000000000001
Addison Russell,24.0,608365.0,russead02,2018,CHC,1,NL,45.0,10,90.0,-0.19,0.65,-0.2,1.0,1.0,0.0,0.0,0.0,2.0,0.54,0.0,1.36,4.2,2.8,0.8,2.5,0.3,0.09,0.27,0.44,0.27,0.23,0.14,,N,4.22395,4.14395,0.07429,4.00787,1.8319999999999999,1.818,0.5311,0.5088,0.5283,0.4848,94.0904,14.715,15.23
Kyle Schwarber,25.0,656941.0,schwaky01,2018,CHC,1,NL,38.0,10,66.7,0.01,-0.92,0.19,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.29,0.0,1.24,-0.8,-2.0,-1.0,-1.3,-0.23,-0.11,-0.15,-0.1,-0.15,0.02,0.13,,N,4.04295,4.14395,0.07429,4.02045,1.821,1.819,0.4779,0.4888,0.4859,0.4862,109.9847,12.425999999999998,13.225999999999999
Pedro Strop,33.0,467008.0,stroppe01,2018,CHC,1,NL,0.0,5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,4.14395,4.14395,0.07429,4.14395,1.827,1.827,0.5,0.5,0.5,0.5,,0.0,0.0
Justin Wilson,30.0,458677.0,wilsoju10,2018,CHC,1,NL,0.0,5,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,4.14395,4.14395,0.07429,4.14395,1.827,1.827,0.5,0.5,0.5,0.5,,0.0,0.0
Ben Zobrist,37.0,450314.0,zobribe01,2018,CHC,1,NL,39.0,9,71.6,0.96,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41,0.0,1.22,2.1,0.9,0.9,-0.4,0.09,0.1,-0.06,0.22,-0.06,0.23,0.13,,N,4.24172,4.14395,0.07429,4.00787,1.8330000000000002,1.818,0.5107,0.5107,0.495,0.4848,124.5484,12.753,14.027999999999999
