Date,teamID,Home_Away,Opp,WL,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,DN,Attendance,cLI,Streak,Orig. Scheduled,sorting,Team,Tm,League,Division,color,tres
"Tuesday, May 17 ",CHW,@,KCR,L,1,2,9,18-18,2.0,2.5,Singer,Martin,Staumont,2:35,N,11684.0,1.01,-1.0,,0,Royals,Kansas City Royals,American,Central,#788DF0,KCR
"Tuesday, May 17 ",CHW,@,KCR,W,3,0,9,18-17,2.0,2.5,Cease,Heasley,Hendriks,3:10,D,9168.0,.99,2.0,,1,Royals,Kansas City Royals,American,Central,#788DF0,KCR
"Wednesday, May 18",CHW,@,KCR,,,,,,,,,,,,,,,,,2,Royals,Kansas City Royals,American,Central,#788DF0,KCR
"Thursday, May 19",CHW,@,KCR,,,,,,,,,,,,,,,,,3,Royals,Kansas City Royals,American,Central,#788DF0,KCR
