Date,teamID,Home_Away,Opp,WL,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,DN,Attendance,cLI,Streak,Orig. Scheduled,sorting,Team,Tm,League,Division,color,tres
"Sunday, Aug 8",CHC,Home,CHW,L,3,9,9,52-61,4.0,14.5,Cease,Davies,None,3:06,N,39412.0,.06,-4.0,,0,White Sox,Chicago White Sox,American,Central,#000000,CHW
"Saturday, Aug 7",CHC,Home,CHW,L,0,4,9,52-60,4.0,14.5,Rodon,Alzolay,None,3:10,D,40077.0,.07,-3.0,,1,White Sox,Chicago White Sox,American,Central,#000000,CHW
"Monday, Aug 9",CHC,Home,MIL,,,,,,,,,,,,,,,,,2,Brewers,Milwaukee Brewers,National,Central,#8FBC8B,MIL
"Tuesday, Aug 10",CHC,Home,MIL,,,,,,,,,,,,,,,,,3,Brewers,Milwaukee Brewers,National,Central,#8FBC8B,MIL
